LE ID;Project / Contract;GET-ID;BBS-Markup in %;Site Area;Site-Name;BBS-Department;Charging information;Region;Created By;Modified By;Item Type;Path
0210;WebAS, TWM%ZA-0210-BHC%02, Intranet;;;Intranet;various;WebCM;TWM#ZA-0210-BHC#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
0210;WebAS, TWM%ZA-0210-BHC%01, Internet;10064724;;Internet;various;WebCM;TWM#ZA-0210-BHC#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
1346;WebAS, TWM%VN-1346-ROS-BAYER-VIETNAM-LTD%02, Intranet;;;Intranet;various;WebCM;TWM#VN-1346-ROS-BAYER-VIETNAM-LTD#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
1346;WebAS, TWM%VN-1346-ROS-BAYER-VIETNAM-LTD%01, Internet;10064726;;Internet;various;WebCM;TWM#VN-1346-ROS-BAYER-VIETNAM-LTD#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
0196;WebAS, TWM%VE-0196-BHC%02, Intranet;;;Intranet;various;WebCM;TWM#VE-0196-BHC#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
0196;WebAS, TWM%VE-0196-BHC%01, Internet;10064856;;Internet;various;WebCM;TWM#VE-0196-BHC#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
2083;WebAS, TWM%US-2083-BHC%02, Intranet;10064958;;Intranet;various;WebCM;TWM#US-2083-BHC#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
2083;WebAS, TWM%US-2083-BHC%01, Internet;10064764;;Internet;various;WebCM;TWM#US-2083-BHC#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
1371;WebAS, TWM%US-1371-ROS-BAYER-CORP%02, Intranet;;;Intranet;various;WebCM;TWM#US-1371-ROS-BAYER-CORP#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
1371;WebAS, TWM%US-1371-ROS-BAYER-CORP%01, Internet;10064854;;Internet;various;WebCM;TWM#US-1371-ROS-BAYER-CORP#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
0353;WebAS, TWM%US-0353-BHC-BAYER-HEALTHCARE-LLC%02, Intranet;10064954;;Intranet;various;WebCM;TWM#US-0353-BHC-BAYER-HEALTHCARE-LLC#02;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
0353;WebAS, TWM%US-0353-BHC-BAYER-HEALTHCARE-LLC%01, Internet;10064686;;Internet;various;WebCM;TWM#US-0353-BHC-BAYER-HEALTHCARE-LLC#01;EMEA (ohne DE);Marcel Knoll;Marcel Knoll;Element;sites/000185/WebAgency/Lists/BBS Contracts
